is_generator,own,entity,years,hour,offer,limit
True,True,OwnGen_1,1,0,28.63,41.2
True,True,OwnGen_1,1,1,79.45,125.11
True,True,OwnGen_1,1,2,64.43,98.53
True,True,OwnGen_1,1,3,89.14,118.69
True,True,OwnGen_1,1,4,22.2,39.52
True,True,OwnGen_1,1,5,46.39,70.09
True,True,OwnGen_1,1,6,59.69,38.99
True,True,OwnGen_1,1,7,70.23,80.94
True,True,OwnGen_1,1,8,59.15,103.94
True,True,OwnGen_1,1,9,73.72,108.49
True,True,OwnGen_1,1,10,22.19,35.36
True,True,OwnGen_1,1,11,28.06,21.06
True,True,OwnGen_1,1,12,39.21,38.99
True,True,OwnGen_1,1,13,56.56,131.42
True,True,OwnGen_1,1,14,24.02,37.5
True,True,OwnGen_1,1,15,25.29,146.51
True,True,OwnGen_1,1,16,86.54,89.39
True,True,OwnGen_1,1,17,46.27,44.34
True,True,OwnGen_1,1,18,32.39,101.53
True,True,OwnGen_1,1,19,38.79,114.83
True,True,OwnGen_1,1,20,57.91,142.51
True,True,OwnGen_1,1,21,19.59,136.51
True,True,OwnGen_1,1,22,21.91,97.25
True,True,OwnGen_1,1,23,9.05,104.94
True,True,OwnGen_1,1,24,39.84,123.42
True,True,OwnGen_1,1,25,6.04,82.44
True,True,OwnGen_1,1,26,14.2,36.65
True,True,OwnGen_1,1,27,82.83,98.44
True,True,OwnGen_1,1,28,96.76,110.12
True,True,OwnGen_1,1,29,97.67,87.25
True,True,OwnGen_1,1,30,54.86,35.33
True,True,OwnGen_1,1,31,36.52,55.41
True,True,OwnGen_1,1,32,87.64,31.3
True,True,OwnGen_1,1,33,50.46,128.91
True,True,OwnGen_1,1,34,53.43,26.28
True,True,OwnGen_1,1,35,63.26,73.08
True,True,OwnGen_1,1,36,72.7,31.52
True,True,OwnGen_1,1,37,41.28,23.11
True,True,OwnGen_1,1,38,41.6,38.47
True,True,OwnGen_1,1,39,26.14,123.2
True,True,OwnGen_1,1,40,73.22,82.88
True,True,OwnGen_1,1,41,98.12,118.97
True,True,OwnGen_1,1,42,13.63,89.85
True,True,OwnGen_1,1,43,69.4,116.22
True,True,OwnGen_1,1,44,64.62,134.83
True,True,OwnGen_1,1,45,80.99,92.01
True,True,OwnGen_1,1,46,87.7,73.2
True,True,OwnGen_1,1,47,11.39,38.35
True,True,OwnGen_1,1,48,99.76,45.6
True,True,OwnGen_1,1,49,89.35,104.22
True,True,OwnGen_1,1,50,7.63,102.83
True,True,OwnGen_1,1,51,88.31,41.53
True,True,OwnGen_1,1,52,27.22,53.95
True,True,OwnGen_1,1,53,35.65,118.09
True,True,OwnGen_1,1,54,13.03,148.81
True,True,OwnGen_1,1,55,19.15,133.8
True,True,OwnGen_1,1,56,8.73,34.63
True,True,OwnGen_1,1,57,32.63,137.39
True,True,OwnGen_1,1,58,92.43,22.63
True,True,OwnGen_1,1,59,77.39,61.13
True,True,OwnGen_1,1,60,44.82,93.82
True,True,OwnGen_1,1,61,71.37,24.08
True,True,OwnGen_1,1,62,5.74,117.12
True,True,OwnGen_1,1,63,96.95,57.71
True,True,OwnGen_1,1,64,94.5,96.85
True,True,OwnGen_1,1,65,17.86,31.46
True,True,OwnGen_1,1,66,64.8,85.6
True,True,OwnGen_1,1,67,54.62,101.7
True,True,OwnGen_1,1,68,26.41,54.05
True,True,OwnGen_1,1,69,58.44,70.89
True,True,OwnGen_1,1,70,72.26,47.76
True,True,OwnGen_1,1,71,32.12,130.2
True,True,OwnGen_1,1,72,48.85,29.67
True,True,OwnGen_1,1,73,86.7,74.64
True,True,OwnGen_1,1,74,54.87,104.72
True,True,OwnGen_1,1,75,40.25,148.2
True,True,OwnGen_1,1,76,31.35,108.58
True,True,OwnGen_1,1,77,56.8,88.52
True,True,OwnGen_1,1,78,5.73,118.48
True,True,OwnGen_1,1,79,24.15,116.25
True,True,OwnGen_1,1,80,15.9,77.96
True,True,OwnGen_1,1,81,31.45,47.35
True,True,OwnGen_1,1,82,39.69,123.45
True,True,OwnGen_1,1,83,13.53,105.92
True,True,OwnGen_1,1,84,26.18,79.91
True,True,OwnGen_1,1,85,63.95,40.8
True,True,OwnGen_1,1,86,93.21,104.53
True,True,OwnGen_1,1,87,58.47,89.7
True,True,OwnGen_1,1,88,75.2,142.5
True,True,OwnGen_1,1,89,30.61,26.85
True,True,OwnGen_1,1,90,21.24,84.21
True,True,OwnGen_1,1,91,72.58,87.19
True,True,OwnGen_1,1,92,26.37,49.91
True,True,OwnGen_1,1,93,95.64,63.68
True,True,OwnGen_1,1,94,69.63,115.45
True,True,OwnGen_1,1,95,41.59,88.9
True,True,OwnGen_1,1,96,15.77,78.93
True,True,OwnGen_1,1,97,9.87,71.84
True,True,OwnGen_1,1,98,91.71,78.63
True,True,OwnGen_1,1,99,11.34,149.88
True,True,OwnGen_1,1,100,99.95,63.9
True,True,OwnGen_1,1,101,30.43,82.2
True,True,OwnGen_1,1,102,24.13,115.8
True,True,OwnGen_1,1,103,21.82,39.77
True,True,OwnGen_1,1,104,38.55,71.87
True,True,OwnGen_1,1,105,93.52,90.61
True,True,OwnGen_1,1,106,48.14,86.81
True,True,OwnGen_1,1,107,93.5,26.49
True,True,OwnGen_1,1,108,87.73,59.34
True,True,OwnGen_1,1,109,58.55,99.66
True,True,OwnGen_1,1,110,24.48,20.18
True,True,OwnGen_1,1,111,41.73,46.02
True,True,OwnGen_1,1,112,36.35,117.46
True,True,OwnGen_1,1,113,49.77,67.26
True,True,OwnGen_1,1,114,97.89,84.21
True,True,OwnGen_1,1,115,83.61,55.45
True,True,OwnGen_1,1,116,89.6,56.51
True,True,OwnGen_1,1,117,31.75,85.63
True,True,OwnGen_1,1,118,46.67,77.18
True,True,OwnGen_1,1,119,57.16,147.56
True,True,OwnGen_1,1,120,68.74,45.22
True,True,OwnGen_1,1,121,38.88,74.13
True,True,OwnGen_1,1,122,87.47,89.8
True,True,OwnGen_1,1,123,25.02,115.49
True,True,OwnGen_1,1,124,90.44,144.02
True,True,OwnGen_1,1,125,51.71,54.52
True,True,OwnGen_1,1,126,64.53,109.54
True,True,OwnGen_1,1,127,20.83,109.62
True,True,OwnGen_1,1,128,67.75,49.63
True,True,OwnGen_1,1,129,61.19,76.29
True,True,OwnGen_1,1,130,30.43,115.39
True,True,OwnGen_1,1,131,27.45,82.66
True,True,OwnGen_1,1,132,93.54,140.08
True,True,OwnGen_1,1,133,82.7,74.2
True,True,OwnGen_1,1,134,58.77,108.08
True,True,OwnGen_1,1,135,54.73,70.17
True,True,OwnGen_1,1,136,24.69,129.46
True,True,OwnGen_1,1,137,96.72,25.59
True,True,OwnGen_1,1,138,30.89,107.78
True,True,OwnGen_1,1,139,45.2,142.09
True,True,OwnGen_1,1,140,63.54,88.31
True,True,OwnGen_1,1,141,17.26,120.07
True,True,OwnGen_1,1,142,41.7,35.5
True,True,OwnGen_1,1,143,8.57,87.07
True,True,OwnGen_1,1,144,57.36,107.42
True,True,OwnGen_1,1,145,79.22,74.73
True,True,OwnGen_1,1,146,62.05,68.53
True,True,OwnGen_1,1,147,14.39,138.41
True,True,OwnGen_1,1,148,61.97,92.96
True,True,OwnGen_1,1,149,86.25,92.95
True,True,OwnGen_1,1,150,84.98,118.82
True,True,OwnGen_1,1,151,70.02,69.11
True,True,OwnGen_1,1,152,22.53,96.11
True,True,OwnGen_1,1,153,33.07,83.53
True,True,OwnGen_1,1,154,44.16,63.87
True,True,OwnGen_1,1,155,76.37,103.24
True,True,OwnGen_1,1,156,37.89,36.93
True,True,OwnGen_1,1,157,96.26,113.9
True,True,OwnGen_1,1,158,37.11,145.79
True,True,OwnGen_1,1,159,20.39,92.09
True,True,OwnGen_1,1,160,36.98,140.74
True,True,OwnGen_1,1,161,85.58,52.32
True,True,OwnGen_1,1,162,91.11,114.73
True,True,OwnGen_1,1,163,91.65,138.07
True,True,OwnGen_1,1,164,79.59,80.44
True,True,OwnGen_1,1,165,80.45,75.89
True,True,OwnGen_1,1,166,90.21,61.77
True,True,OwnGen_1,1,167,39.12,74.99
True,True,OwnGen_1,1,168,38.05,130.19
True,True,OwnGen_1,1,169,74.14,102.31
True,True,OwnGen_1,1,170,28.74,45.04
True,True,OwnGen_1,1,171,97.78,120.88
True,True,OwnGen_1,1,172,11.97,116.42
True,True,OwnGen_1,1,173,90.51,91.07
True,True,OwnGen_1,1,174,48.57,33.8
True,True,OwnGen_1,1,175,68.02,113.65
True,True,OwnGen_1,1,176,98.34,121.35
True,True,OwnGen_1,1,177,64.16,20.16
True,True,OwnGen_1,1,178,92.88,135.27
True,True,OwnGen_1,1,179,33.48,123.7
True,True,OwnGen_1,1,180,94.64,100.95
True,True,OwnGen_1,1,181,7.95,29.24
True,True,OwnGen_1,1,182,20.4,119.97
True,True,OwnGen_1,1,183,68.99,119.17
True,True,OwnGen_1,1,184,69.84,50.4
True,True,OwnGen_1,1,185,45.52,122.12
True,True,OwnGen_1,1,186,81.29,82.68
True,True,OwnGen_1,1,187,12.18,41.47
True,True,OwnGen_1,1,188,40.86,68.83
True,True,OwnGen_1,1,189,99.03,132.0
True,True,OwnGen_1,1,190,35.61,134.73
True,True,OwnGen_1,1,191,44.65,75.09
True,True,OwnGen_1,1,192,79.16,24.77
True,True,OwnGen_1,1,193,73.89,93.45
True,True,OwnGen_1,1,194,24.24,49.82
True,True,OwnGen_1,1,195,22.48,44.57
True,True,OwnGen_1,1,196,41.23,91.65
True,True,OwnGen_1,1,197,17.57,27.91
True,True,OwnGen_1,1,198,72.59,89.04
True,True,OwnGen_1,1,199,90.93,34.82
True,True,OwnGen_1,1,200,14.57,34.72
True,True,OwnGen_1,1,201,46.28,141.49
True,True,OwnGen_1,1,202,84.45,101.53
True,True,OwnGen_1,1,203,30.68,72.41
True,True,OwnGen_1,1,204,95.32,28.58
True,True,OwnGen_1,1,205,84.59,120.43
True,True,OwnGen_1,1,206,90.35,131.57
True,True,OwnGen_1,1,207,65.36,33.28
True,True,OwnGen_1,1,208,26.43,148.61
True,True,OwnGen_1,1,209,66.56,76.17
True,True,OwnGen_1,1,210,23.68,30.09
True,True,OwnGen_1,1,211,53.7,39.95
True,True,OwnGen_1,1,212,46.13,144.03
True,True,OwnGen_1,1,213,58.96,84.21
True,True,OwnGen_1,1,214,45.56,88.52
True,True,OwnGen_1,1,215,64.14,126.56
True,True,OwnGen_1,1,216,44.42,81.5
True,True,OwnGen_1,1,217,69.09,98.31
True,True,OwnGen_1,1,218,38.65,50.1
True,True,OwnGen_1,1,219,89.22,124.63
True,True,OwnGen_1,1,220,87.39,126.96
True,True,OwnGen_1,1,221,42.52,34.6
True,True,OwnGen_1,1,222,97.49,49.43
True,True,OwnGen_1,1,223,72.42,43.47
True,True,OwnGen_1,1,224,90.44,94.61
True,True,OwnGen_1,1,225,28.55,72.28
True,True,OwnGen_1,1,226,96.65,120.62
True,True,OwnGen_1,1,227,99.6,51.9
True,True,OwnGen_1,1,228,44.62,39.93
True,True,OwnGen_1,1,229,72.06,76.24
True,True,OwnGen_1,1,230,13.21,50.84
True,True,OwnGen_1,1,231,78.52,21.32
True,True,OwnGen_1,1,232,21.38,82.93
True,True,OwnGen_1,1,233,70.94,31.72
True,True,OwnGen_1,1,234,12.61,137.0
True,True,OwnGen_1,1,235,45.19,120.15
True,True,OwnGen_1,1,236,29.68,53.95
True,True,OwnGen_1,1,237,66.48,21.11
True,True,OwnGen_1,1,238,61.83,39.84
True,True,OwnGen_1,1,239,6.83,27.89
True,True,OwnGen_1,1,240,60.03,71.9
True,True,OwnGen_1,1,241,54.79,58.41
True,True,OwnGen_1,1,242,57.42,123.73
True,True,OwnGen_1,1,243,94.91,97.38
True,True,OwnGen_1,1,244,12.64,127.39
True,True,OwnGen_1,1,245,25.29,66.63
True,True,OwnGen_1,1,246,5.87,91.62
True,True,OwnGen_1,1,247,99.53,123.44
True,True,OwnGen_1,1,248,6.28,68.06
True,True,OwnGen_1,1,249,64.8,56.28
True,True,OwnGen_1,1,250,25.14,107.26
True,True,OwnGen_1,1,251,51.17,67.94
True,True,OwnGen_1,1,252,56.28,139.64
True,True,OwnGen_1,1,253,7.94,80.45
True,True,OwnGen_1,1,254,87.05,91.89
True,True,OwnGen_1,1,255,29.64,70.99
True,True,OwnGen_1,1,256,21.68,105.66
True,True,OwnGen_1,1,257,63.63,56.47
True,True,OwnGen_1,1,258,7.85,31.71
True,True,OwnGen_1,1,259,19.71,138.68
True,True,OwnGen_1,1,260,19.29,103.03
True,True,OwnGen_1,1,261,40.85,135.79
True,True,OwnGen_1,1,262,38.25,111.94
True,True,OwnGen_1,1,263,40.1,27.04
True,True,OwnGen_1,1,264,70.54,25.81
True,True,OwnGen_1,1,265,36.78,140.46
True,True,OwnGen_1,1,266,53.76,108.09
True,True,OwnGen_1,1,267,7.36,77.11
True,True,OwnGen_1,1,268,52.92,111.29
True,True,OwnGen_1,1,269,20.04,50.92
True,True,OwnGen_1,1,270,13.32,53.04
True,True,OwnGen_1,1,271,52.08,64.02
True,True,OwnGen_1,1,272,88.91,112.89
True,True,OwnGen_1,1,273,62.96,95.7
True,True,OwnGen_1,1,274,56.57,107.81
True,True,OwnGen_1,1,275,13.43,132.13
True,True,OwnGen_1,1,276,71.15,53.43
True,True,OwnGen_1,1,277,82.86,129.47
True,True,OwnGen_1,1,278,31.37,59.04
True,True,OwnGen_1,1,279,71.54,144.46
True,True,OwnGen_1,1,280,27.72,129.57
True,True,OwnGen_1,1,281,59.96,133.45
True,True,OwnGen_1,1,282,98.86,44.75
True,True,OwnGen_1,1,283,85.85,149.45
True,True,OwnGen_1,1,284,17.17,80.16
True,True,OwnGen_1,1,285,29.99,129.41
True,True,OwnGen_1,1,286,29.65,33.3
True,True,OwnGen_1,1,287,53.73,95.38
True,True,OwnGen_1,1,288,87.05,85.49
True,True,OwnGen_1,1,289,56.17,98.42
True,True,OwnGen_1,1,290,36.66,122.19
True,True,OwnGen_1,1,291,48.39,140.65
True,True,OwnGen_1,1,292,31.19,104.67
True,True,OwnGen_1,1,293,40.33,100.92
True,True,OwnGen_1,1,294,99.06,85.88
True,True,OwnGen_1,1,295,93.76,63.0
True,True,OwnGen_1,1,296,92.66,117.86
True,True,OwnGen_1,1,297,30.52,39.26
True,True,OwnGen_1,1,298,99.54,135.65
True,True,OwnGen_1,1,299,32.75,52.91
True,True,OwnGen_1,1,300,52.57,93.32
True,True,OwnGen_1,1,301,5.31,21.39
True,True,OwnGen_1,1,302,30.37,79.79
True,True,OwnGen_1,1,303,18.19,51.43
True,True,OwnGen_1,1,304,6.92,121.74
True,True,OwnGen_1,1,305,91.72,108.65
True,True,OwnGen_1,1,306,27.77,92.59
True,True,OwnGen_1,1,307,78.06,148.06
True,True,OwnGen_1,1,308,62.63,97.92
True,True,OwnGen_1,1,309,55.89,28.15
True,True,OwnGen_1,1,310,10.12,38.88
True,True,OwnGen_1,1,311,11.33,138.52
True,True,OwnGen_1,1,312,38.01,106.29
True,True,OwnGen_1,1,313,44.9,70.98
True,True,OwnGen_1,1,314,82.39,26.44
True,True,OwnGen_1,1,315,70.8,112.74
True,True,OwnGen_1,1,316,94.46,25.12
True,True,OwnGen_1,1,317,46.57,27.54
True,True,OwnGen_1,1,318,13.02,64.75
True,True,OwnGen_1,1,319,72.33,90.22
True,True,OwnGen_1,1,320,23.27,21.26
True,True,OwnGen_1,1,321,64.17,31.66
True,True,OwnGen_1,1,322,35.09,113.22
True,True,OwnGen_1,1,323,80.93,104.68
True,True,OwnGen_1,1,324,70.63,67.24
True,True,OwnGen_1,1,325,60.83,94.06
True,True,OwnGen_1,1,326,33.68,134.44
True,True,OwnGen_1,1,327,38.05,144.0
True,True,OwnGen_1,1,328,79.73,129.29
True,True,OwnGen_1,1,329,56.7,52.05
True,True,OwnGen_1,1,330,6.38,65.06
True,True,OwnGen_1,1,331,92.18,49.46
True,True,OwnGen_1,1,332,33.7,57.61
True,True,OwnGen_1,1,333,81.9,86.79
True,True,OwnGen_1,1,334,33.88,65.4
True,True,OwnGen_1,1,335,56.68,128.86
True,True,OwnGen_1,1,336,94.53,143.69
True,True,OwnGen_1,1,337,29.39,145.93
True,True,OwnGen_1,1,338,79.37,146.88
True,True,OwnGen_1,1,339,40.98,112.94
True,True,OwnGen_1,1,340,78.06,107.53
True,True,OwnGen_1,1,341,66.84,31.41
True,True,OwnGen_1,1,342,26.57,83.92
True,True,OwnGen_1,1,343,68.85,148.27
True,True,OwnGen_1,1,344,7.79,137.57
True,True,OwnGen_1,1,345,36.85,68.2
True,True,OwnGen_1,1,346,33.53,135.97
True,True,OwnGen_1,1,347,18.19,53.0
True,True,OwnGen_1,1,348,28.28,118.45
True,True,OwnGen_1,1,349,66.69,115.56
True,True,OwnGen_1,1,350,26.46,71.84
True,True,OwnGen_1,1,351,81.12,92.74
True,True,OwnGen_1,1,352,47.26,52.54
True,True,OwnGen_1,1,353,45.65,72.18
True,True,OwnGen_1,1,354,50.23,92.2
True,True,OwnGen_1,1,355,27.85,117.31
True,True,OwnGen_1,1,356,50.73,68.09
True,True,OwnGen_1,1,357,11.36,102.49
True,True,OwnGen_1,1,358,94.49,45.98
True,True,OwnGen_1,1,359,19.45,58.01
True,True,OwnGen_1,1,360,70.83,121.5
True,True,OwnGen_1,1,361,88.77,149.46
True,True,OwnGen_1,1,362,84.65,141.51
True,True,OwnGen_1,1,363,79.8,143.19
True,True,OwnGen_1,1,364,62.13,128.77
True,True,OwnGen_1,1,365,17.38,87.97
True,True,OwnGen_1,1,366,17.46,96.8
True,True,OwnGen_1,1,367,61.39,34.07
True,True,OwnGen_1,1,368,27.58,67.86
True,True,OwnGen_1,1,369,7.81,77.29
True,True,OwnGen_1,1,370,57.81,127.19
True,True,OwnGen_1,1,371,12.0,73.85
True,True,OwnGen_1,1,372,95.37,111.39
True,True,OwnGen_1,1,373,49.58,114.77
True,True,OwnGen_1,1,374,6.14,45.28
True,True,OwnGen_1,1,375,92.47,127.14
True,True,OwnGen_1,1,376,39.32,83.8
True,True,OwnGen_1,1,377,25.41,118.22
True,True,OwnGen_1,1,378,58.97,49.76
True,True,OwnGen_1,1,379,80.53,22.46
True,True,OwnGen_1,1,380,38.44,98.22
True,True,OwnGen_1,1,381,13.87,45.44
True,True,OwnGen_1,1,382,11.47,102.63
True,True,OwnGen_1,1,383,23.04,128.33
True,True,OwnGen_1,1,384,70.6,110.3
True,True,OwnGen_1,1,385,20.99,145.97
True,True,OwnGen_1,1,386,90.57,74.23
True,True,OwnGen_1,1,387,21.14,147.45
True,True,OwnGen_1,1,388,96.4,50.94
True,True,OwnGen_1,1,389,45.5,91.32
True,True,OwnGen_1,1,390,13.05,77.07
True,True,OwnGen_1,1,391,34.97,109.94
True,True,OwnGen_1,1,392,53.15,135.02
True,True,OwnGen_1,1,393,12.86,71.19
True,True,OwnGen_1,1,394,86.36,32.12
True,True,OwnGen_1,1,395,44.47,41.76
True,True,OwnGen_1,1,396,34.45,89.55
True,True,OwnGen_1,1,397,32.27,49.58
True,True,OwnGen_1,1,398,21.17,96.09
True,True,OwnGen_1,1,399,96.6,35.82
True,True,OwnGen_1,1,400,5.58,26.74
True,True,OwnGen_1,1,401,5.19,63.53
True,True,OwnGen_1,1,402,30.11,25.19
True,True,OwnGen_1,1,403,7.96,22.99
True,True,OwnGen_1,1,404,43.3,42.68
True,True,OwnGen_1,1,405,53.58,95.42
True,True,OwnGen_1,1,406,84.71,47.33
True,True,OwnGen_1,1,407,89.2,77.01
True,True,OwnGen_1,1,408,15.01,82.88
True,True,OwnGen_1,1,409,66.73,90.53
True,True,OwnGen_1,1,410,52.55,93.89
True,True,OwnGen_1,1,411,47.05,82.05
True,True,OwnGen_1,1,412,27.19,40.78
True,True,OwnGen_1,1,413,21.32,77.46
True,True,OwnGen_1,1,414,24.19,110.41
True,True,OwnGen_1,1,415,8.69,66.86
True,True,OwnGen_1,1,416,74.71,31.97
True,True,OwnGen_1,1,417,57.05,64.6
True,True,OwnGen_1,1,418,26.23,118.28
True,True,OwnGen_1,1,419,32.13,144.69
True,True,OwnGen_1,1,420,81.01,133.58
True,True,OwnGen_1,1,421,34.19,20.2
True,True,OwnGen_1,1,422,32.98,44.44
True,True,OwnGen_1,1,423,60.29,65.71
True,True,OwnGen_1,1,424,15.81,83.48
True,True,OwnGen_1,1,425,92.04,145.59
True,True,OwnGen_1,1,426,34.59,135.37
True,True,OwnGen_1,1,427,23.71,44.93
True,True,OwnGen_1,1,428,12.18,144.69
True,True,OwnGen_1,1,429,29.46,127.49
True,True,OwnGen_1,1,430,31.3,122.39
True,True,OwnGen_1,1,431,70.99,21.48
True,True,OwnGen_1,1,432,85.18,55.6
True,True,OwnGen_1,1,433,96.31,69.42
True,True,OwnGen_1,1,434,69.77,62.21
True,True,OwnGen_1,1,435,62.97,20.84
True,True,OwnGen_1,1,436,35.71,113.11
True,True,OwnGen_1,1,437,27.28,59.1
True,True,OwnGen_1,1,438,81.49,52.46
True,True,OwnGen_1,1,439,92.7,130.87
True,True,OwnGen_1,1,440,25.6,93.37
True,True,OwnGen_1,1,441,96.99,34.07
